player_name,squad,appearances,matches_started,minutes_played,goals,assists,yellow_cards,red_cards
Veselin Minev,Antalyaspor,25,25,2159,0,0,8,1
André Moritz,Mersin İY,32,29,2316,3,5,9,0
Joachim Mununga,Gençlerbirliği,12,4,326,0,1,0,0
Fernando Muslera,Galatasaray,33,33,2880,1,0,3,1
Alfred N'Diaye,Bursaspor,32,31,2880,3,0,7,0
Safet Nadarević,Eskişehirspor,22,20,1922,0,0,5,1
Mehmet Nas,Sivasspor,30,28,2655,3,3,2,0
Nicolás Navarro,Kayserispor,29,29,2610,0,0,4,1
Jakub Navrátil,Sivasspor,33,32,2880,3,0,6,0
Sammy Ndjock,Antalyaspor,7,7,630,0,0,0,0
Tobias Nickenig,Orduspor,7,6,630,0,0,1,0
Danilo Nikolić,Karabükspor,12,10,1080,0,0,4,1
Recep Niyaz,Fenerbahçe,3,1,211,0,0,0,0
Musa Nizam,Antalyaspor,16,12,1288,0,0,5,0
Márcio Nobre,Mersin İY,26,23,2316,11,2,7,2
Dany Nounkeu,Gaziantepspor,28,28,2520,0,0,8,0
Bayram Olgun,Ankaragücü,12,12,1080,0,0,2,0
Özden Öngün,Gaziantepspor,3,3,270,0,0,0,0
Özden Öngün,Ankaragücü,15,15,1350,0,0,0,0
Barış Örücü,Bursaspor,7,2,305,0,0,0,0
Bekir Ozan Has,Gaziantepspor,20,16,1452,1,0,4,0
İlhan Özbay,Mersin İY,15,12,1350,1,0,2,1
Serdar Özbayraktar,Eskişehirspor,21,16,1260,1,1,2,0
Barış Özbek,Trabzonspor,2,0,180,0,0,0,0
Furkan Özçal,Kayserispor,19,15,1710,2,2,2,0
Muhammet Özdin,Karabükspor,22,21,1980,0,0,5,1
Kenan Özer,Antalyaspor,8,3,360,0,0,0,0
Erdem Özgenç,Karabükspor,17,15,1530,1,0,4,0
Erman Özgür,Mersin İY,19,16,1710,2,0,2,0
Emre Özkan,Orduspor,18,16,1620,0,0,6,0
Serdar Özkan,Samsunspor,13,10,1170,0,0,0,0
Serdar Özkan,Ankaragücü,12,10,1080,1,3,3,1
Yavuz Ökan,Bursaspor,2,2,180,0,0,0,0
Cihan Özkara,Sivasspor,15,11,1080,2,1,1,0
Hakan Özmert,Orduspor,29,28,2610,2,2,4,0
Nduka Ozokwo,Mersin İY,28,25,2520,3,2,4,0
Yasin Öztekin,Gençlerbirliği,33,30,2970,6,3,6,0
Ferhat Öztorun,Trabzonspor,7,5,630,0,0,0,0
İbrahim Öztürk,Bursaspor,26,25,2340,0,0,2,0
Sezer Öztürk,Fenerbahçe,6,3,540,0,0,1,0
İlhan Parlak,Karabükspor,25,23,2250,6,1,3,0
Ricardo Pedriel,Sivasspor,29,27,2610,8,2,4,0
Yasin Pehlivan,Gaziantepspor,20,16,1440,1,2,8,1
Peter Pekarík,Kayserispor,27,26,2430,0,3,3,0
Mustafa Pektemek,Beşiktaş,30,27,2700,8,1,2,0
Pelé,Eskişehirspor,11,8,990,0,2,1,0
Sebastián Pinto,Bursaspor,13,10,1170,7,3,2,0
Cláudio Pitbull,Manisaspor,4,1,360,0,0,0,0
Mehmet Polat,Mersin İY,5,3,450,0,0,2,0
Ivelin Popov,Gaziantepspor,32,30,2880,4,4,6,1
Alper Potuk,Eskişehirspor,30,28,2700,2,0,8,0
Isaac Promise,Manisaspor,31,28,2790,11,1,2,1
Ricardo Quaresma,Beşiktaş,19,16,1710,5,6,7,2
Tomáš Rada,Sivasspor,5,1,65,0,0,1,0
Ivan Radeljić,Antalyaspor,8,7,543,0,0,0,0
Hocine Ragued,Karabükspor,24,22,1908,0,1,3,0
Jan Rajnoch,Ankaragücü,8,8,675,1,0,1,0
Jan Rajnoch,Sivasspor,15,14,1214,2,0,2,0
Rüştü Reçber,Beşiktaş,9,9,765,0,0,0,0
Júlio Regufe Alves,Beşiktaş,3,1,16,0,0,0,0
Albert Riera,Galatasaray,26,20,1373,1,5,5,0
Cristian Riveros,Kayserispor,33,33,2875,2,1,5,0
João da Rocha Ribeiro,Orduspor,13,10,437,0,0,1,0
Christian Rodrigo Zurita,Mersin İY,25,23,2055,0,0,9,0
Simão Sabrosa,Beşiktaş,25,22,1902,3,5,4,0
Ahmet Şahin,Samsunspor,9,8,709,0,0,1,1
Cenk Şahin,İstanbul BB,2,0,17,0,0,0,0
İbrahim Şahin,Orduspor,1,0,45,0,0,0,0
Nihat Şahin,Sivasspor,4,4,360,0,0,0,0
Rızvan Şahin,İstanbul BB,12,11,976,0,0,5,1
Selçuk Şahin,Fenerbahçe,22,18,1192,0,0,2,0
Selçuk Şahin,Orduspor,17,16,1450,0,0,4,0
Mehmet Sak,Bursaspor,7,4,305,0,0,1,0
Ramazan Sal,Bursaspor,2,1,47,0,0,0,0
Orhan Şam,Fenerbahçe,14,10,635,0,1,3,0
Sandro,Sivasspor,2,0,53,0,0,0,0
Jonathan Santana,Kayserispor,15,14,1174,0,1,7,0
Sidney Cristiano dos Santos (Tita),Antalyaspor,28,25,2135,10,1,4,0
Marek Sapara,Gaziantepspor,16,14,1322,3,6,0,0
Marek Sapara,Trabzonspor,5,2,172,0,0,0,0
Veysel Sarı,Eskişehirspor,30,28,2580,4,4,11,2
Sabri Sarıoğlu,Galatasaray,23,20,1388,1,1,2,1
Mustafa Sarp,Karabükspor,12,11,872,3,0,3,0
Mustafa Sarp,Samsunspor,11,10,835,1,0,0,0
Mehmet Sedef,Gençlerbirliği,32,30,2439,0,1,3,0
Ibrahim Šehić,Mersin İY,22,22,1935,0,0,4,0
Erkan Sekman,Antalyaspor,6,5,357,0,1,1,0
Murat Selvi,Karabükspor,1,1,90,0,0,0,0
Volkan Şen,Trabzonspor,23,19,1378,3,1,4,0
Štefan Senecký,Sivasspor,2,2,180,0,0,0,0
Semih Şentürk,Fenerbahçe,18,10,910,1,3,2,0
Kerem Şeras,Antalyaspor,22,18,1267,1,0,4,0
Anthony Šerić,Karabükspor,29,29,2609,0,0,8,1
Stanislav Šesták,Bursaspor,31,30,2574,1,6,1,0
Luton Shelton,Karabükspor,28,26,2092,5,3,4,1
Sidnei,Beşiktaş,10,9,780,2,0,0,0
Josh Simpson,Manisaspor,17,14,1181,2,2,1,1
Rıdvan Şimşek,Karabükspor,2,1,82,0,0,0,0
Serkan Şirin,Ankaragücü,12,11,874,0,1,0,0
Ömer Şişmanoğlu,Kayserispor,9,5,331,1,0,0,0
Tomáš Sivok,Beşiktaş,25,25,2250,4,0,4,0
Abdulaziz Solmaz,Eskişehirspor,2,1,98,0,0,1,0
Ismael Sosa,Gaziantepspor,32,28,1684,2,3,5,0
Alex de Souza,Fenerbahçe,29,28,2297,14,7,3,1
Moussa Sow,Fenerbahçe,10,8,900,6,3,0,0
Kağan Söylemezgiller,Ankaragücü,15,12,1350,1,0,5,0
Kağan Söylemezgiller,Karabükspor,11,8,990,1,1,1,0
Hakan Söyler,Karabükspor,14,12,1260,0,0,3,0
Umut Sözen,Kayserispor,5,2,450,0,0,0,0
Umut Sözen,Ankaragücü,9,6,810,0,0,0,0
Bogdan Stancu,Orduspor,31,28,2790,10,5,1,0
Milan Stepanov,Bursaspor,12,10,1080,2,0,1,0
Miroslav Stoch,Fenerbahçe,28,26,2520,10,4,2,0
Cem Sultan,Kayserispor,4,1,360,0,0,1,0
Aytaç Sulu,Gençlerbirliği,1,1,90,0,0,0,0
Gökhan Süzen,İstanbul BB,17,14,1530,0,0,4,0
Gustav Svensson,Bursaspor,9,7,810,0,1,0,0
Prince Tagoe,Bursaspor,11,6,990,1,1,2,0
Ali Tandoğan,Antalyaspor,29,26,2610,1,0,7,0
Mehmet Taşçı,Ankaragücü,6,4,540,0,0,1,0
Erkan Taşkıran,Karabükspor,17,15,1530,0,0,5,0
Ertuğrul Taşkıran,Samsunspor,27,27,2430,0,0,2,0
Ergün Teber,Samsunspor,15,13,1350,1,0,2,0
Ergün Teber,Gençlerbirliği,12,10,1080,0,1,1,0
Selim Teber,Samsunspor,3,1,270,0,0,1,0
Mahmut Tekdemir,İstanbul BB,31,30,2790,0,1,5,1
Fatih Tekke,Orduspor,15,12,1350,3,2,1,0
Rodrigo Tello,Eskişehirspor,27,23,2430,1,4,3,0
Kağan Timurcin Konuk,Sivasspor,10,7,900,0,0,3,0
Tonia Tisdell,Ankaragücü,12,10,1080,2,1,1,0
Tonia Tisdell,Mersin İY,8,6,720,1,1,1,0
Hüseyin Tok,Manisaspor,28,24,2520,0,1,5,1
Kemal Tokak,Samsunspor,31,29,2790,1,0,7,1
Tom,İstanbul BB,13,10,1170,1,3,1,0
Vjekoslav Tomić,Karabükspor,22,22,1980,0,0,3,0
Mehmet Topuz,Fenerbahçe,27,24,2430,3,2,3,0
İbrahim Toraman,Beşiktaş,17,14,1530,1,0,5,0
Veli Torun,Ankaragücü,12,10,1080,0,0,2,1
Aydın Toscalı,Ankaragücü,29,29,2610,0,0,4,0
Cenk Tosun,Gaziantepspor,32,30,2880,7,2,5,0
James Troisi,Kayserispor,27,24,2430,10,3,4,0
Hervé Tum,Gençlerbirliği,30,28,2700,15,1,3,0
Onur Tuncer,Orduspor,23,20,2070,0,0,3,0
Yenal Tuncer,Samsunspor,12,9,1080,0,0,3,0
Ali Turan,Antalyaspor,28,26,2520,0,1,9,0
Hakan Turan,Manisaspor,1,0,90,0,0,0,0
Muhammed Türkmen,Ankaragücü,15,12,1350,0,0,0,0
Uğur Uçar,Ankaragücü,8,7,720,0,0,5,1
Uğur Uçar,Karabükspor,10,8,900,0,0,1,0
Hasan Üçüncü,Mersin İY,10,8,900,1,0,4,0
Tomáš Ujfaluši,Galatasaray,33,33,2970,1,1,7,0
Gökhan Ünal,Kayserispor,23,21,2070,7,1,4,0
Orkun Uşak,Karabükspor,9,9,810,0,0,2,0
Orkun Uşak,Antalyaspor,2,2,180,0,0,0,0
Necip Uysal,Beşiktaş,28,19,1713,0,0,2,1
Valdomiro,Samsunspor,4,3,227,0,0,0,0
Güven Varol,Karabükspor,8,5,459,0,0,0,0
Güven Varol,Ankaragücü,16,13,1067,0,0,3,0
Gökçek Vederson,Bursaspor,30,30,2682,2,4,6,1
Marcus Vinícius,İstanbul BB,11,11,827,0,0,2,0
Edin Višća,İstanbul BB,33,23,2020,5,8,3,0
Róbert Vittek,Trabzonspor,1,1,44,0,0,0,0
Nemanja Vučićević,Manisaspor,9,6,520,2,1,0,0
Wágner,Gaziantepspor,9,8,649,1,0,3,0
Pierre Webó,İstanbul BB,30,30,2603,13,5,4,2
Taner Yalçın,İstanbul BB,17,11,862,1,1,2,0
Volkan Yaman,Eskişehirspor,19,15,1298,1,0,1,0
Müslüm Yelken,Orduspor,6,2,186,0,0,1,0
Hayrettin Yerlikaya,Sivasspor,11,11,924,0,0,3,1
Murat Yıldırım,Samsunspor,33,29,2512,5,0,6,0
Sercan Yıldırım,Galatasaray,19,4,631,1,2,1,0
Mehmet Yıldız,Karabükspor,14,14,1155,6,3,2,0
Mehmet Yıldız,Eskişehirspor,15,10,863,2,1,1,0
Aydın Yılmaz,Galatasaray,9,2,322,1,0,2,0
Bekir Yılmaz,Manisaspor,19,6,745,0,1,3,0
Burak Yılmaz,Trabzonspor,30,30,2693,32,3,8,0
Cihan Yılmaz,Sivasspor,8,1,179,1,0,0,0
İbrahim Yılmaz,İstanbul BB,4,0,43,0,0,1,0
Mehmet Yılmaz,Antalyaspor,7,2,230,0,0,0,0
Savaş Yılmaz,Samsunspor,4,0,56,0,0,1,0
Sefa Yılmaz,Kayserispor,30,23,2077,2,7,2,0
Joseph Yobo,Fenerbahçe,33,33,2970,1,0,2,0
Okay Yokuşlu,Kayserispor,22,10,1047,2,1,1,0
Merter Yüce,Karabükspor,3,1,52,0,0,0,0
Mustafa Yumlu,Trabzonspor,21,16,1570,2,1,7,0
Gökhan Zan,Galatasaray,11,11,854,2,0,1,0
Kamil Zayatte,İstanbul BB,17,17,1335,0,0,7,2
Ermin Zec,Gençlerbirliği,27,7,883,3,0,4,0
Erkan Zengin,Eskişehirspor,22,12,1049,2,1,1,0
Kerim Zengin,Gaziantepspor,4,4,221,0,0,2,1
Kerim Zengin,Sivasspor,2,0,18,0,0,0,0
Tolga Zengin,Trabzonspor,34,34,3060,0,0,2,0
Simon Zenke,Samsunspor,23,15,1302,1,1,4,1
Reto Ziegler,Fenerbahçe,32,32,2789,0,0,5,0
Ali Zitouni,Antalyaspor,26,15,1699,3,0,3,0
Didier Zokora,Trabzonspor,21,20,1685,0,2,5,2
Behram Zülaloğlu,İstanbul BB,9,9,810,0,0,0,0
Berkay Dabanlı,Kayserispor,2,1,180,0,0,0,0
Ekrem Dağ,Beşiktaş,22,18,1980,0,1,1,0
İbrahim Dağaşan,Antalyaspor,30,28,2700,0,0,9,1
Wilfried Dalmat,Orduspor,25,22,2250,0,2,7,0
Dedê,Eskişehirspor,32,30,2880,3,7,8,0
Gökhan Değirmenci,Kayserispor,7,5,630,0,0,0,0
Spas Delev,Mersin İY,12,9,1080,2,0,0,0
Oktay Delibalta,Gençlerbirliği,26,22,2340,3,4,4,0
Aykut Demir,Gençlerbirliği,27,25,2430,2,0,9,0
Muhammet Demir,Gaziantepspor,27,24,2430,10,1,2,0
Muhammed Demirci,Beşiktaş,1,0,90,0,0,0,0
Volkan Demirel,Fenerbahçe,32,32,2880,0,0,3,0
Serol Demirhan,Ankaragücü,10,8,900,2,0,0,0
Okan Deniz,Bursaspor,2,1,180,0,0,0,0
Metin Depe,İstanbul BB,23,20,2070,2,0,8,0
Abdurrahman Dereli,Orduspor,21,18,1890,0,0,2,0
Armand Deumi,Karabükspor,9,7,810,0,0,2,1
Issiar Dia,Fenerbahçe,13,11,1170,3,1,0,0
Anıl Dilaver,Samsunspor,14,11,1260,0,0,2,0
Babacar Diop,Kayserispor,1,1,90,0,0,1,0
Jimmy Dixon,Manisaspor,24,22,2160,0,0,4,0
Arafat Djako,Gaziantepspor,4,2,360,0,0,0,0
İshak Doğan,Ankaragücü,22,20,1980,1,0,4,0
Turgut Doğan Şahin,Gaziantepspor,11,7,990,0,1,1,0
Turgut Doğan Şahin,Ankaragücü,18,15,1620,2,1,7,0
Álvaro Domínguez,Samsunspor,16,14,1440,2,1,4,0
Duncan,Sivasspor,11,9,990,3,0,2,0
Abdullah Durak,Kayserispor,26,24,2283,0,0,5,0
Murat Duruer,Ankaragücü,13,11,1170,1,2,0,0
Murat Duruer,Gençlerbirliği,8,5,720,0,0,0,0
Emmanuel Eboué,Galatasaray,25,22,2250,2,2,3,0
Edu,Beşiktaş,21,18,1890,3,0,2,0
Ekigho Ehiosun,Samsunspor,31,28,2790,9,3,2,0
İlhan Eker,Kayserispor,9,7,810,0,0,3,0
Ekrem Ekşioğlu,İstanbul BB,22,19,1980,0,0,5,0
Ákos Elek,Eskişehirspor,3,2,270,0,0,0,0
Johan Elmander,Galatasaray,30,28,2700,12,4,2,0
Fevzi Elmas,Orduspor,9,7,810,0,0,2,0
Abdullah Elyasa Süme,Gaziantepspor,29,26,2610,4,0,9,1
Michael Eneramo,Sivasspor,29,27,2610,11,7,5,0
Emre Çolak,Galatasaray,25,18,2160,3,1,3,0
Gustavo Colman,Trabzonspor,30,24,2700,2,7,8,0
