tff_kisi_id,player_id,resolution_method,tff_name,primary_team_id
26323,2054,exact_team_norm,EMRE BELÖZOĞLU,3052
26351,6175,exact_team_norm,FATİH TEKKE,5140
27280,5371,fuzzy_team_0.95,İHSAN BURAK ÖZSARAÇ,7802
27404,5907,exact_team_norm,MURAT ERDOĞAN,3100
27441,5303,exact_team_norm,ALİ TANDOĞAN,3056
28141,5299,exact_team_norm,ERMAN ÖZGÜR,3102
29466,5783,exact_team_norm,MEHMET NAS,3076
29489,,empty_name,,
29894,5507,exact_team_norm,DENİZ BARIŞ,3056
30028,6208,surname_team_unique,HAKAN KADİR BALTA,3061
30069,5498,exact_team_norm,MERT NOBRE,3102
30071,6216,exact_team_norm,UĞUR İNCEMAN,3056
30091,12863,override_file,ALEXSANDRO DE SOUZA,3052
30098,30133,exact_team_norm,GÖKÇEK VEDERSON,3055
30100,5280,fuzzy_team_0.96,SİLVİNO JOAO DE CARVALHO,3056
30106,,unresolved,MELİH GÖKÇEK,3056
30138,5858,exact_team_norm,VOLKAN YAMAN,6364
30139,6160,surname_team_unique,ABDULLAH ELYASA SÜME,3060
30160,43642,exact_team_norm,ENGİN BAYTAR,3061
40463,5743,exact_team_norm,GÖKHAN ZAN,3061
46401,,empty_name,,
53537,31253,exact_team_norm,SELÇUK İNAN,3061
91384,18864,exact_team_norm,BURAK YILMAZ,3051
98266,53828,exact_team_norm,OZAN İPEK,3055
108407,,empty_name,,
196829,54633,exact_team_norm,HASAN ÜÇÜNCÜ,3102
205732,31731,exact_team_norm,SEDAT BAYRAK,5140
226925,124643,exact_team_norm,MUSTAFA YUMLU,3051
228016,43720,exact_team_norm,ERGİN KELEŞ,7027
234489,43576,exact_team_norm,SERDAR ÖZBAYRAKTAR,6364
241076,5367,exact_team_norm,BÜLENT ERTUĞRUL,6364
259968,5708,exact_team_norm,NECATİ ATEŞ,3061
267025,,empty_name,,
267117,5511,exact_team_norm,SEMİH ŞENTÜRK,3052
288370,43530,exact_team_norm,BEKİR OZAN HAS,3060
290774,43664,exact_team_norm,ERMAN KILIÇ,3076
290828,,empty_name,,
301199,,empty_name,,
303814,42279,exact_team_norm,EREN GÜNGÖR,3072
313364,5716,surname_team_unique,HASAN SALİH KABZE,5140
316101,60248,exact_team_norm,YİĞİT İSMAİL GÖKOĞLAN,3061
327177,124831,exact_team_norm,AHMET İLHAN ÖZEK,3100
329898,47599,exact_team_norm,SEMİH KAYA,3061
332879,81956,exact_team_norm,ÖZGÜR İLERİ,7802
342483,5693,exact_team_norm,CİHAN HASPOLATLI,3086
343018,43471,exact_team_norm,ÖMER AYSAN BARIŞ,3100
385657,43711,exact_team_norm,EGEMEN KORKMAZ,3050
387796,43662,exact_team_norm,METİN DEPE,3086
397587,18767,exact_team_norm,OLCAN ADIN,3051
414770,30137,exact_team_norm,GÖKHAN GÖNÜL,3052
424027,18861,exact_team_norm,SERDAR KURTULUŞ,3060
425843,43173,exact_team_norm,SERCAN YILDIRIM,3061
427346,43533,exact_team_norm,VOLKAN ŞEN,3051
428986,43528,exact_team_norm,SERDAR AZİZ,3055
433728,15680,exact_team_norm,CANER ERKİN,3052
442698,43507,exact_team_norm,YALÇIN AYHAN,5140
468569,5289,exact_team_norm,MUSTAFA SARP,7027
472933,5893,exact_team_norm,EREN AYDIN,3086
473240,43672,exact_team_norm,EFE İNANÇ,3086
481718,5715,exact_team_norm,SABRİ SARIOĞLU,3061
490680,60349,exact_team_norm,KIVANÇ KARAKAŞ,3076
493317,816117,exact_team_norm,BİROL HİKMET,7027
498758,15683,exact_team_norm,UĞUR BORAL,3053
507928,60332,exact_team_norm,ERDEM ÖZGENÇ,7027
526732,,empty_name,,
527413,5914,exact_team_norm,BİLAL KISA,7027
530312,21825,exact_team_norm,MEHMET TOPUZ,3052
538334,5489,exact_team_norm,MEHMET YILDIZ,7027
548553,,empty_name,,
557340,,empty_name,,
571606,43424,exact_team_norm,MEHMET ÇAKIR,7027
577087,42225,exact_team_norm,MEHMET EREN BOYRAZ,3056
583596,43470,exact_team_norm,ERHAN GÜVEN,3102
597917,43653,exact_team_norm,KEREM ŞERAS,3056
599145,35583,surname_team_unique,REMZİ GİRAY KAÇAR,3051
606502,144031,exact_team_norm,SEROL DEMİRHAN,3103
618819,5314,exact_team_norm,İBRAHİM TORAMAN,3050
638109,,empty_name,,
646854,43543,exact_team_norm,MUHAMMET DEMİR,3060
654587,69351,exact_team_norm,SONER AYDOĞDU,7802
655290,187637,surname_team_unique,ATİLLA AYBARS GARHAN,3103
657880,43425,exact_team_norm,ÖZER HURMACI,3052
671395,60637,exact_team_norm,OKTAY DELİBALTA,7802
678886,30032,exact_team_norm,SERDAR ÖZKAN,3053
681136,,empty_name,,
683521,98276,exact_team_norm,VEYSEL SARI,6364
690325,17797,exact_team_norm,AYDIN YILMAZ,3061
709586,31577,exact_team_norm,BATUHAN KARADENİZ,6364
718176,,empty_name,,
719585,68002,exact_team_norm,EMRE ÇOLAK,3061
730954,114217,exact_team_norm,ORHAN GÜLLE,3060
731452,,empty_name,,
742760,174141,exact_team_norm,EMRAH BAŞSAN,3056
770691,43643,exact_team_norm,MUSTAFA PEKTEMEK,3050
770725,43512,exact_team_norm,HAKAN ÖZMERT,5140
784092,,empty_name,,
798762,,empty_name,,
819643,1003483,exact_team_norm,KEMAL TOKAK,3053
845749,55028,exact_team_norm,ALPER POTUK,6364
876145,60363,exact_team_norm,MUSA ÇAĞIRAN,3055
887190,97967,exact_team_norm,OKAY YOKUŞLU,3072
915429,,unresolved,PROMİSE İSAAC,3100
917055,43693,exact_team_norm,ERDAL KILIÇASLAN,3102
950503,4507,exact_team_norm,FERHAT ÇÖKMÜŞ,3100
950513,18470,exact_team_norm,MILAN STEPANOV,3055
950514,12232,fuzzy_team_0.92,FILIP HOLOSKO,3050
1018876,14764,exact_team_norm,ALI ZITOUNI,3056
1063400,58,exact_team_norm,HALİL ALTINTOP,3051
1063428,14976,exact_team_norm,TEVFİK KÖSE,3086
1063466,16948,exact_team_norm,AYKUT DEMİR,7802
1063467,60641,exact_team_norm,MURAT YILDIRIM,3053
1063500,20747,exact_team_norm,CEYHUN GÜLSELAM,3061
1063502,,unresolved,KAZIM KAZIM,3061
1064156,,unresolved,RODRIGO ALVARO TELLO VALENZUELA,6364
1064171,60277,surname_team_unique,ANDRE FRANCISCO MORITZ,3102
1064295,8870,exact_team_norm,ALİ ÇAMDALI,5140
1064301,3845,exact_team_norm,TURGAY BAHADIR,3055
1064334,3132,exact_team_norm,HERVE GERMAIN TUM,7802
1064627,43632,exact_team_norm,KADİR BEKMEZCİ,3076
1066631,,empty_name,,
1127981,,unresolved,ANDRE ROBERTO SOARES DA SILVA,3102
1168294,790572,exact_team_norm,GUSTAVO COLMAN,3051
1168326,12412,fuzzy_team_0.90,TOMAS SIVOK,3050
1168420,43684,exact_team_norm,FURKAN ÖZÇAL,3072
1170321,,empty_name,,
1170347,12699,fuzzy_team_0.97,SAFET NADAREVİÇ,6364
1172360,699,fuzzy_team_0.95,MILAN BAROS,3061
1174065,18999,exact_team_norm,JAMES TROİSİ,3072
1221765,32215,exact_team_norm,HURŞUT MERİÇ,7802
1222102,7702,exact_team_norm,ERKAN ZENGİN,6364
1224115,,empty_name,,
1224131,486,exact_team_norm,FABIAN ERNST,3050
1252821,34158,surname_team_unique,CRISTIAN MARK JUNIO NASCIMENTO OLIVEIRA BARONI,3052
1252842,136,exact_team_norm,MICHAEL FINK,3053
1252929,10302,surname_team_unique,JOSHUA CHRISTOPHER SIMPSON,3100
1253726,39974,surname_team_unique,PABLO MARTIN BATALLA,3055
1256975,,unresolved,RICARDO PEDRIEL SUAREZ,3076
1302829,,empty_name,,
1306405,106762,exact_team_norm,KAĞAN SÖYLEMEZGİLLER,7027
1307566,31557,surname_team_unique,NDUKA MORRISON OZOKWO,3102
1308532,,empty_name,,
1308533,12002,exact_team_norm,JAN RAJNOCH,3076
1343654,,unresolved,RICARDO ANDRADE QURESMA BERNARDO,3050
1343671,42860,exact_team_norm,MIROSLAV STOCH,3052
1343677,2363,fuzzy_team_0.88,ROBERTO JAN HİLBERT,3050
1343690,18032,surname_team_unique,FLORIN LUCIAN CERNAT,7027
1343699,17986,exact_team_norm,ISSIAR DIA,3052
1343826,44279,exact_team_norm,ERMIN ZEC,7802
1343834,,unresolved,SAMUEL TOBIAS HOLMEN,3086
1343841,37928,surname_team_unique,VICTOR ISMAEL  SOSA,3060
1343877,,unresolved,DIEGO ANGELO DE OLIVEIRA,6364
1343946,13385,fuzzy_team_0.90,STANISLAV SESTAK,3055
1344710,27011,surname_team_unique,SİMON TERWASE ZENKE,3053
1346333,1143,surname_team_unique,JOSEPH MICHAEL YOBO,3052
1346446,29308,surname_team_unique,IVELIN IVANOV POPOV,3060
1384729,27714,fuzzy_team_0.88,NOUREDDINE AMRABAT,3072
1384732,22601,fuzzy_team_0.96,EMIR KUJOVIC,3072
1384873,21876,exact_team_norm,YASİN ÖZTEKİN,7802
1385185,,empty_name,,
1385972,,unresolved,SIMAO PEDRO DA FONSECA SABROSA,3050
1386181,12935,surname_team_unique,HUGO MIGUEL PEREIRA DE ALMEIDA,3050
1386275,,unresolved,RANDALL AZOFEIFA CORRALES,7802
1387538,,unresolved,PAWEL LUKASZ BROZEK,3051
1387702,124331,exact_team_norm,İSHAK DOĞAN,3103
1387848,,unresolved,WAGNER FERREIRA DOS SANTOS,3060
1387863,12048,exact_team_norm,JAKUB NAVRATIL,3076
1387867,33689,surname_team_unique,KAMIL PAWEL  GROSICKI,3076
1388955,5508,exact_team_norm,VELİ  KAVLAK,3050
1388969,55026,exact_team_norm,MICHAEL ENERAMO,3076
1389060,12982,surname_team_unique,MANUEL HENRIQUE TAVARES FERNANDES,3050
1389707,,empty_name,,
1390135,39737,exact_team_norm,SEFA YILMAZ,3072
1391900,72127,exact_team_norm,CENK TOSUN,3060
1428688,,unresolved,PAULO HENRIQUE CARNEIRO FILHO,3051
1428693,,unresolved,ALFRED JOHN MOMAR NDIAYE,3055
1428818,47824,exact_team_norm,YASİN PEHLİVAN,3060
1428819,45764,fuzzy_global_0.83,ONDREJ CELUSTKA,3051
1428839,,unresolved,FRANCISCO LIMA DA SILVA,3086
1429520,15057,surname_team_unique,LUTON GEORGE KIESHAWN SHELTON,7027
1429941,,unresolved,PIERRE ACHILLE WEBO KOUAMO,3086
1429942,109779,fuzzy_global_0.84,EDIN VISCA,3086
1430166,38459,exact_team_norm,TANER YALÇIN,3086
1430555,,unresolved,SIDNEI RECHEL DA SILVA JUNIOR,3050
1430564,,empty_name,,
1430722,90629,exact_team_norm,CİHAN ÖZKARA,3076
1430732,12187,exact_team_norm,MILAN CERNY,3076
1431068,9325,exact_team_norm,ZURAB KHIZANISHVILI,3072
1431069,,unresolved,CRISTIAN MIGUEL RIVEROS NUNEZ,3072
1431340,,unresolved,MIGUEL ANGELO MOITA GARCIA,5140
1431371,,empty_name,,
1432009,12933,exact_team_norm,MAREK CECH,3051
1432011,,unresolved,EDUARDO GONÇALVES DE OLIVEIRA,3050
1432014,533,fuzzy_team_0.96,EMMANUEL EBOUE,3061
1432015,1422728,exact_team_norm,TOMAS UJFALUSİ,3061
1432016,28381,surname_team_unique,NESTOR FERNANDO MUSLERA,3061
1432017,,unresolved,FELIPE  MELO DE CARVALHO,3061
1432051,,unresolved,MICHAEL BASSER CHRETIEN,3055
1432088,,unresolved,EHIOSUN EKIGHO,3053
1432092,,unresolved,ALVARO JOSE DOMINGUEZ CABEZAS,3053
1432140,870,surname_team_unique,DIOMANSY MEHDI MOUSTAPHA KAMARA,6364
1432149,,unresolved,LEONARDO DE DEUS SANTOS,6364
1432211,1422787,exact_team_norm,PRINCE TAGOE,3055
1432230,55037,exact_team_norm,AKAKI KHUBUTIA,3053
1432231,1422568,surname_team_unique,JOHAN ERİK CALVİN ELMANDER,3061
1432234,47262,fuzzy_team_0.91,OUISSEM BEN  YAHIA,3102
1432286,,unresolved,RASMUSSEN MORTEN NİCOLAS,3076
1432293,,unresolved,HENRİ BİENVENU NTSAMA,3052
1432294,6102,fuzzy_team_0.96,ARISTIDE BANCE,3053
1465383,2209,surname_team_unique,DIEGO MARVIN BISESWAR,3072
1466129,,unresolved,WELLINGTON BRITO DA SILVA,3086
1466415,21556,surname_team_unique,LARRYS DESTIN MABIALA,7027
1466681,215974,exact_team_norm,DANILO PETROLLI BUENO,3102
1466846,12682,fuzzy_team_0.97,THEOFANIS GKEKAS,3053
1468201,80999,surname_team_unique,SPAS BORISLAVOV DELEV,3102
1468559,,unresolved,SEBASTIAN ANDRES PINTO PERURENA,3055
1469480,1856693,exact_team_norm,SANEL JAHIC,7027
1469703,,unresolved,FRANCISCO JAVIER PERAL PERIANE,5140
1471748,3215,exact_team_norm,MOUSSA SOW,3052
1472151,2391,exact_team_norm,NEMANJA VUCİCEVIC,3100
2019406,,empty_name,,
2020913,,empty_name,,
2292635,,empty_name,,
